;max mass;min mass;max height;min height
;75.5;52.5;182;159
Head;-12.4;0.0255;0.0991;0.9
UT;-2.95;0.224;0.0055;0.84
MT;2.09;0.128;-0.0125;0.56
LT;13.1;0.185;-0.105;0.82
Thigh;4;0.156;-0.036;0.79
Shank;-2.75;0.0058;0.0336;0.76
Foot;-1.34;-0.0012;0.0137;0.6
UA;0.876;0.0375;-0.0099;0.72
FA;-0.739;0.0103;0.0063;0.64
Hand;-0.12;0.0098;-0.0007;0.64
Length (cm);;;;
Head;-28.1;0.0233;0.299;0.84
UT;-15.8;-0.0247;0.267;0.68
MT;-6.13;-0.0661;0.162;0.4
LT;38.5;0.117;-0.14;0.45
Thigh;-3.27;-0.0193;0.271;0.66
Shank;-2.73;-0.0527;0.271;0.75
Foot;7.97;0.008;0.0957;0.53
UA;-9.88;-0.012;0.21;0.61
FA;-7.54;-0.0049;0.194;0.77
Hand;13.6;0.106;-0.0092;0.52
Ix (kg cm2);;;;
Head;-2226;3.07;14.3;0.92
UT;-1907;45.6;2.77;0.83
MT;-284;24.7;-3.43;0.8
LT;1339;24.6;-13.5;0.76
Thigh;-1172;32.8;1.69;0.71
Shank;-1024;-0.0173;8.32;0.83
Foot;-20.4;0.008;0.141;0.66
UA;-141;1.9;0.634;0.64
FA;-136;0.441;0.917;0.68
Hand;-9.06;0.115;0.0356;0.71
Iy (kg cm2);;;;
Head;-1678;1.687;11.7;0.87
UT;-1374;22.7;4.91;0.78
MT;10.9;8.91;-0.88;0.43
LT;1130;16.6;-10.2;0.8
Thigh;-1291;31.2;3.04;0.71
Shank;-980;-0.315;7.88;0.84
Foot;-77.9;-0.2;0.66;0.57
UA;-130;2.03;0.54;0.64
FA;-138;0.395;0.938;0.68
Hand;-12.1;0.144;0.0487;0.73
Lz(kg cm2);;;;
Head;-758;1.88;5.18;0.84
UT;-28.1;43.1;-8.91;0.87
MT;555;30.7;-10.6;0.91
LT;1215;27.1;-13.7;0.87
Thigh;184;9.1;-3.21;0.81
Shank;-111;0.534;0.95;0.65
Foot;-73.7;-0.194;0.635;0.55
UA;25;0.809;-0.346;0.74
FA;-4.72;0.13;0.0162;0.62
Hand;-3.49;0.0549;0.0115;0.71
